Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
w_link11,1.11022302462516E-16,-0.00599977153838503,-5.23592129902453E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-2.57264588273654E-23,-2.24511404910812E-25,4.5366188724203E-07,1.40778136601666E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link11.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link11.STL,,25mm被动轮-5,w_link11,w_joint11,w_joint11,continuous,-0.0265300962998795,0.00638839389127724,-0.0329279432380505,0,-0.00872631399289035,0,link9,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link10,-2.22044604925031E-16,-0.00599977153837661,-5.23592129772626E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-1.77957668755461E-21,-1.55301304758052E-23,4.5366188724203E-07,1.40778136601666E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link10.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link10.STL,,25mm被动轮-12,w_link10,w_joint10,w_joint10,continuous,-0.0269231737433514,-0.0509968511697867,0.0121155152903099,-1.57952297305487,-0.00872664625997147,0,link8,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link9,0,-0.00599977153838503,-5.23592129902384E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-1.15035993194672E-24,-6.17923185505247E-24,4.5366188724203E-07,1.40778136601666E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link9.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link9.STL,,25mm被动轮-6,w_link9,w_joint9,w_joint9,continuous,-0.0265434301675844,0.00636221428478216,-0.0299280596052194,0,-0.00872631399289041,0,link7,0,0.999961923064171,0.00872653549837373,,,,,,,,,,,,
w_link8,0,-0.00599977153838826,-5.23592129971079E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-8.99174058194296E-22,-7.8469731267415E-24,4.5366188724203E-07,1.40778136601667E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link8.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link8.STL,,25mm被动轮-3,w_link8,w_joint8,w_joint8,continuous,-0.0269231737433516,-0.0509968511697729,0.0121155152902981,-1.57952297305487,-0.00872664625997147,0,link6,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link7,5.55111512312578E-17,-0.00599977153838777,-5.23592129932915E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-7.68070243246727E-22,-6.70284746683014E-24,4.5366188724203E-07,1.40778136601669E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link7.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link7.STL,,25mm被动轮-11,w_link7,w_joint7,w_joint7,continuous,-0.0265300962998803,0.00638839389126619,-0.0329279432380439,0,-0.00872631399289046,0,link5,0,-0.999961923064171,-0.00872653549837387,,,,,,,,,,,,
w_link6,0,-0.00599977153838503,-5.23592129902453E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-3.10202131700851E-23,-2.70709299176485E-25,4.5366188724203E-07,1.40778136601666E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link6.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link6.STL,,25mm被动轮-4,w_link6,w_joint6,w_joint6,continuous,-0.0269231737433503,-0.0509968511697846,0.0121155152902978,-1.57952297305487,-0.00872664625997148,0,link4,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link5,0.000811767328056545,-0.00594460616860247,-5.1877792101529E-05,0,0,0,0.00551808701233817,2.95299168958302E-07,-2.16252951987988E-08,-1.8872109213604E-10,4.50709063998475E-07,1.38201246796065E-09,2.92358181473074E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link5.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link5.STL,,25mm被动轮-9,w_link5,w_joint5,w_joint5,continuous,-0.0293034556050267,0.00619904336677982,-0.0329537975563879,0,-0.00872631399289052,0,link3,0.135294554676093,-0.990767694767079,-0.00864629868358695,,,,,,,,,,,,
w_link4,-2.77555756156289E-17,-0.00599977153838503,-5.23592129902523E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-8.28312721212539E-23,-7.22857560742529E-25,4.5366188724203E-07,1.40778136601663E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link4.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link4.STL,,25mm被动轮-10,w_link4,w_joint4,w_joint4,continuous,-0.02692317374335,-0.0509968511697919,0.012115515290298,-1.57952297305487,-0.00872664625997157,0,link2,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link3,0,-0.00599977153838503,-5.23592129902453E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-3.10202131700851E-23,-2.70709299176485E-25,4.5366188724203E-07,1.40778136601666E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link3.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link3.STL,,25mm被动轮-7,w_link3,w_joint3,w_joint3,continuous,-0.0268164221171293,0.00610283496986031,-0.0327496861396522,-0.00872664625997146,0,0,link1,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link1,0,-0.00599977153838503,-5.23592129902453E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-1.6846899177034E-23,-1.4702066180222E-25,4.5366188724203E-07,1.40778136601666E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link1.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link1.STL,,25mm被动轮-1,w_link1,w_joint1,w_joint1,continuous,-0.00225727859795422,0.00627002960385615,-0.0309161476959102,0,0,0,base_link,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link2,1.38777878078145E-17,-0.00599977153838503,-5.23592129902523E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-1.45118621252899E-22,-1.2664310216512E-24,4.5366188724203E-07,1.40778136601663E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link2.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link2.STL,,25mm被动轮-8,w_link2,w_joint2,w_joint2,continuous,-0.0722572785979542,0.00627002960385617,-0.0309161476959102,0,0,0,base_link,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
